DIA,LINEA,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
11/1/2023,LÍNEA T-A,"1,128","2,814","3,814","3,236","2,255","1,907","1,897","1,895","2,148","2,046","2,408","2,517","3,339","4,456","4,216","2,695","1,865","1,311","1,005",2,"46,954"
12/1/2023,LÍNEA 1,"2,568","6,556","9,230","8,289","5,420","4,794","4,275","3,993","4,343","4,342","5,012","5,519","7,031","9,320","7,376","4,530","3,050","2,388","1,416",34,"99,486"
12/1/2023,LÍNEA 2,134,667,936,946,853,776,915,980,"1,033",935,"1,050","1,375","1,708","2,059","1,570","1,154",682,445,199,8,"18,425"
12/1/2023,LÍNEA A,"14,142","35,723","50,703","42,098","26,855","23,537","22,228","22,798","24,564","24,888","31,161","33,278","49,981","71,332","52,177","28,852","20,275","15,418","8,878",,"598,888"
12/1/2023,LÍNEA B,"2,789","5,771","7,730","6,838","4,395","3,863","3,747","3,624","4,066","4,007","4,409","4,891","6,391","9,233","6,564","3,940","2,739","2,023","1,173",1,"88,194"
12/1/2023,LÍNEA H,174,435,380,265,132,127,121,94,101,92,58,60,55,39,38,29,31,15,4,,"2,250"
12/1/2023,LÍNEA J,"1,103","2,278","2,197","1,763","1,197",915,781,720,749,701,500,568,569,654,474,335,268,165,40,39,"16,016"
12/1/2023,LÍNEA K,"2,310","2,845","2,685","2,064","1,453","1,326","1,144","1,197","1,371","1,165",883,"1,013","1,197",982,629,609,548,297,91,2,"23,811"
12/1/2023,LÍNEA L,,,,,,144,187,315,260,241,260,299,299,224,,,,,,35,"2,264"
12/1/2023,LÍNEA M,276,686,791,505,352,272,236,247,291,294,329,430,545,786,997,768,398,326,253,62,"8,844"
12/1/2023,LÍNEA O,166,787,"1,187","1,009",635,529,440,469,450,413,529,534,796,983,753,534,434,429,208,,"11,285"
12/1/2023,LÍNEA P,"1,114","2,397","2,645","1,845","1,133",849,747,660,758,700,613,562,667,764,567,452,425,187,94,8,"17,187"
12/1/2023,LÍNEA T-A,"1,129","2,871","3,824","3,259","2,316","1,922","1,871","1,848","2,135","2,139","2,201","2,543","3,324","4,490","4,164","2,738","1,959","1,399","1,113",,"47,245"
13/01/2023,LÍNEA 1,"2,551","6,492","9,113","8,132","5,616","4,650","4,147","4,108","4,212","4,398","4,974","5,565","7,042","8,915","7,361","4,848","3,242","2,622","1,617",23,"99,628"
13/01/2023,LÍNEA 2,130,666,901,978,805,798,898,980,963,979,"1,159","1,265","1,678","1,851","1,696","1,139",686,516,240,7,"18,335"
13/01/2023,LÍNEA A,"13,972","35,493","50,083","42,350","27,316","23,623","22,342","22,839","24,914","25,524","31,734","36,129","51,571","66,860","52,339","32,423","21,707","17,710","11,159",2,"610,090"
13/01/2023,LÍNEA B,"2,656","5,927","7,657","6,686","4,538","3,869","3,731","3,664","4,142","3,974","4,330","5,149","6,551","8,387","7,082","4,269","3,021","2,146","1,314",,"89,093"
13/01/2023,LÍNEA H,166,471,390,268,145,156,127,115,109,82,57,91,68,59,71,40,39,23,10,,"2,487"
13/01/2023,LÍNEA J,"1,124","2,302","2,240","1,774","1,307",968,773,708,743,615,535,537,628,601,507,375,300,151,59,38,"16,285"
13/01/2023,LÍNEA K,"2,263","2,722","2,552","2,292","1,566","1,334","1,176","1,221","1,327","1,257",975,"1,064","1,158","1,057",731,609,616,316,117,1,"24,354"
13/01/2023,LÍNEA L,,,,,,171,214,272,299,306,310,254,230,190,,,,,,28,"2,274"
13/01/2023,LÍNEA M,296,702,782,546,344,268,257,278,319,254,334,449,583,789,946,711,482,344,312,26,"9,022"
13/01/2023,LÍNEA O,168,694,982,982,594,453,490,415,448,429,503,529,735,863,614,449,445,479,212,,"10,484"
